,,,VFA-CF,,,,,VFA-2S,,,,,MH,,,,,ME,,,,,Oprd_HEU,,,,,dRDW,,,sRDW,,,UB,,
c,#instances,timeHorizon,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,#decision_epochs,|N^known|,route_time,wait_time,#routes,route_time,wait_time,#routes,route_time,wait_time,#routes,route_time,wait_time
0.6,108,370.71,3.56,7.43,13.73,350.51,-350.51,3.59,7.24,14.01,347.46,-347.46,2.91,3.75,14.57,365.18,-365.18,2.94,3.79,13.91,363.63,-363.63,3.67,4.46,15.69,261.19,-261.19,4.27,297.07,-297.07,3.49,274.03,-274.03,4.86,325.84,-325.84
0.8,108,494.38,3.89,7.53,12.39,474.06,-474.06,3.87,7.17,12.49,468.81,-468.81,3.25,4.06,13.10,486.18,-486.18,3.32,4.23,12.82,484.71,-484.71,4.98,5.74,16.43,418.56,-418.56,5.11,412.32,-412.32,4.39,382.08,-382.08,6.72,446.62,-446.62
1,108,618.39,4.10,7.84,11.33,582.28,-582.28,4.06,6.69,11.63,581.03,-581.03,3.59,4.49,12.21,598.75,-598.75,3.91,4.91,12.10,592.68,-592.68,6.17,6.80,17.64,529.28,-529.28,5.69,523.86,-523.86,5.10,493.16,-493.16,7.46,557.01,-557.01
1.2,108,741.69,4.79,8.16,10.08,678.37,-678.37,4.78,6.94,10.54,677.33,-677.33,4.31,5.04,11.83,695.93,-695.93,4.59,5.37,11.11,680.61,-680.61,7.85,8.34,16.78,650.73,-650.73,6.50,612.46,-612.46,5.95,569.05,-569.05,10.05,682.69,-682.69
AVG,108,556.29,4.09,7.74,11.88,521.31,-521.31,4.08,7.01,12.17,518.66,-518.66,3.52,4.34,12.93,536.51,-536.51,3.69,4.57,12.48,530.41,-530.41,5.67,6.34,16.63,464.94,-464.94,5.39,461.43,-461.43,4.73,429.58,-429.58,7.27,503.04,-503.04
